
s      17333 Sat Oct 10 19:58:50 CDT 2009 META-INF/MANIFEST.MF
       17454 Sat Oct 10 19:58:50 CDT 2009 META-INF/MOJANG_C.SF
        1055 Sat Oct 10 19:58:50 CDT 2009 META-INF/MOJANG_C.DSA
sm       318 Sat Jun 20 18:42:42 CDT 2009 2char.png
sm      1360 Tue Oct 27 13:13:54 CDT 2009 char.png
sm      9875 Sat May 23 00:03:50 CDT 2009 clouds.png
sm      2774 Mon Jun 16 21:59:34 CDT 2008 default.gif
sm      3696 Sun Jun 14 11:51:50 CDT 2009 default.png
sm      1011 Tue May 19 19:35:24 CDT 2009 dirt.png
sm      1193 Mon May 18 21:15:44 CDT 2009 grass.png
sm         0 Sat Oct 10 19:58:50 CDT 2009 null
sm       574 Thu Oct 22 19:28:38 CDT 2009 particles.png
sm      2553 Thu Oct 22 19:37:06 CDT 2009 rain.png
sm      1057 Mon May 18 20:17:32 CDT 2009 rock.png
sm     28961 Tue Oct 27 13:54:06 CDT 2009 terrain.png
sm       306 Tue May 19 19:31:56 CDT 2009 water.png
sm       463 Sat Oct 10 19:58:48 CDT 2009 a/a.class
sm       364 Thu Aug 13 16:55:34 CDT 2009 armor/chain.png
sm       742 Fri Aug 14 17:40:14 CDT 2009 armor/plate.png
sm     14210 Fri Aug 14 13:21:42 CDT 2009 gui/gui.png
sm      2368 Thu Aug 20 15:28:12 CDT 2009 gui/icons.png
sm       322 Thu Sep 03 18:01:48 CDT 2009 item/arrows.png
sm      1260 Thu Aug 20 17:05:38 CDT 2009 item/sign.png
sm      3000 Fri Oct 23 15:16:50 CDT 2009 mob/creeper.png
sm      3791 Mon Aug 24 22:00:26 CDT 2009 mob/pig.png
sm      2434 Sun Oct 25 23:20:08 CDT 2009 mob/sheep.png
sm      1661 Sun Oct 25 23:05:52 CDT 2009 mob/sheep_fur.png
sm       894 Fri Aug 14 17:00:40 CDT 2009 mob/skeleton.png
sm      2554 Sat Oct 24 01:44:42 CDT 2009 mob/spider.png
sm      1343 Fri Aug 14 16:36:08 CDT 2009 mob/zombie.png
sm      3888 Sat Oct 10 19:58:48 CDT 2009 com/mojang/a/a.class
